@relation home
@attribute claim3years {'N','Y'}
@attribute empStatus {'A','C','E','F','H','I','N','R','S','U','V'}
@attribute busUse {'N','Y'}
@attribute adBuild {'Y'}
@attribute riskRate numeric
@attribute insurSum numeric
@attribute grantYear numeric
@attribute specInsur numeric
@attribute specPrem numeric
@attribute birthYear numeric
@attribute marStatus {'A','B','C','D','M','N','O','P','S','W'}
@attribute sex {'F','M','N'}
@attribute alarm {'N','Y'}
@attribute lock {'N','Y'}
@attribute bedroom numeric
@attribute roofCon numeric
@attribute wallCon numeric
@attribute flood {'N','Y'}
@attribute unocc numeric
@attribute neigh {'N','Y'}
@attribute occStatus {'HH','LP','PH','UN','WD','WE'}
@attribute safeInstall {'N','Y'}
@attribute subside {'N','Y'}
@attribute yearBuild numeric
@attribute payment {'DD-Other','NonDD','PureDD'}
@attribute garBefore {'N','Y'}
@attribute garPost {'N','Y'}
@attribute keyBefore {'N','Y'}
@attribute keyAfter {'N','Y'}
@attribute lastPrem numeric
@attribute polStatus {'Cancelled','Lapsed','Live','Unknown'}
@data
'N','R','N','Y',10,1000000,6,0,0,1913,'P','F','N','Y',3,11,15,'Y',0,'Y','PH','N','N',1920,'PureDD','N','N','N','N',244.99,'Live'
'N','R','N','Y',18,1000000,7,0,0,1921,'O','F','N','N',2,11,15,'Y',0,'N','PH','N','N',1946,'NonDD','N','N','N','N',222.97,'Live'
'N','R','N','Y',6,1000000,6,2370,14.64,1923,'O','F','N','Y',3,11,15,'Y',0,'N','PH','N','N',1980,'PureDD','Y','Y','N','N',202.55,'Live'
'N','R','N','Y',23,1000000,6,0,0,1926,'M','M','N','N',3,11,15,'Y',30,'Y','PH','N','N',1920,'PureDD','N','N','N','N',149,'Lapsed'
'N','R','N','Y',5,1000000,6,0,0,1928,'P','F','N','Y',1,11,15,'Y',0,'N','PH','N','N',1946,'PureDD','N','N','N','N',136.77,'Live'
'N','R','N','Y',6,1000000,6,0,0,1928,'P','F','N','N',3,11,15,'Y',0,'Y','PH','N','N',1900,'PureDD','N','N','N','N',251.44,'Live'
'N','R','N','Y',20,1000000,6,0,0,1928,'P','F','N','Y',2,11,15,'Y',0,'N','PH','N','N',1946,'PureDD','N','N','N','N',182.09,'Live'
'N','R','N','Y',6,1000000,6,0,0,1929,'M','M','Y','Y',3,11,15,'Y',0,'N','PH','N','N',1946,'NonDD','N','N','N','N',166.53,'Lapsed'
'N','R','N','Y',1,1000000,6,0,0,1930,'O','F','N','Y',1,11,15,'Y',0,'N','PH','N','N',1946,'NonDD','N','N','N','N',146.84,'Live'
'N','R','N','Y',13,1000000,6,0,0,1932,'O','F','N','Y',3,11,15,'Y',0,'Y','PH','N','N',1920,'NonDD','N','N','N','N',208.05,'Live'
'N','R','N','Y',18,1000000,6,0,0,1932,'O','M','N','Y',3,11,15,'Y',0,'N','PH','N','N',1946,'PureDD','N','N','N','N',168.27,'Live'
'N','R','N','Y',8,1000000,6,0,0,1933,'P','F','N','Y',3,11,15,'Y',0,'Y','PH','N','N',1946,'NonDD','N','N','N','N',173.5,'Live'
'N','R','N','Y',7,1000000,6,0,0,1933,'P','F','N','N',2,11,15,'Y',0,'N','PH','N','N',1980,'NonDD','N','N','N','N',174.43,'Live'
'N','R','N','Y',12,1000000,7,0,0,1933,'M','M','N','Y',2,11,15,'Y',30,'N','PH','N','N',1990,'PureDD','N','N','N','N',112.33,'Live'
'N','R','N','Y',1,1000000,7,0,0,1934,'M','M','N','Y',5,11,15,'Y',0,'Y','PH','N','N',1920,'NonDD','N','N','N','N',302.74,'Live'
'N','U','N','Y',7,1000000,5,0,0,1934,'W','F','N','Y',2,11,15,'Y',0,'N','PH','N','N',1920,'NonDD','N','N','N','N',219.68,'Live'
'Y','R','N','Y',12,1000000,7,0,0,1935,'S','F','N','Y',3,11,15,'Y',30,'Y','PH','N','N',1946,'NonDD','N','N','N','N',157.15,'Live'
'Y','R','N','Y',0,1000000,6,0,0,1936,'M','M','Y','Y',3,11,15,'Y',30,'Y','PH','N','N',1869,'NonDD','N','N','N','N',231.51,'Lapsed'
'N','R','N','Y',10,1000000,6,0,0,1937,'M','M','N','Y',3,11,15,'Y',0,'Y','PH','N','N',1946,'NonDD','N','N','N','N',196.61,'Live'
'N','R','N','Y',25,1000000,6,0,0,1937,'O','F','N','Y',3,11,15,'Y',0,'Y','PH','N','N',1946,'NonDD','N','N','N','N',179.78,'Live'
'N','R','N','Y',1,1000000,6,0,0,1938,'P','F','N','Y',2,11,15,'Y',0,'N','PH','N','N',1946,'PureDD','N','N','N','N',182.35,'Lapsed'
'N','R','N','Y',2,1000000,7,4000,8.1,1939,'O','M','N','Y',3,11,15,'Y',0,'Y','PH','N','N',1920,'NonDD','N','N','N','N',257.82,'Live'
'N','R','N','Y',15,1000000,6,0,0,1940,'M','M','Y','Y',4,11,15,'Y',0,'Y','PH','N','N',1960,'NonDD','N','N','Y','Y',647.04,'Lapsed'
'N','R','N','Y',0,1000000,6,0,0,1941,'M','M','N','Y',4,11,15,'Y',30,'Y','PH','N','N',1946,'NonDD','N','N','N','N',207.24,'Lapsed'
'Y','R','N','Y',7,1000000,4,0,0,1941,'O','M','Y','Y',2,11,15,'Y',0,'N','PH','N','N',1990,'NonDD','N','N','N','N',168.77,'Live'
'N','R','N','Y',8,1000000,7,0,0,1941,'M','M','N','Y',3,11,15,'Y',0,'N','PH','N','N',1960,'NonDD','N','N','N','N',166.07,'Live'
'N','R','N','Y',2,1000000,6,0,0,1942,'O','F','N','N',3,11,15,'Y',0,'Y','PH','N','N',1946,'NonDD','N','N','N','N',153.5,'Live'
'N','E','N','Y',0,1000000,6,0,0,1944,'O','M','N','Y',2,11,15,'Y',0,'Y','PH','N','N',1980,'NonDD','N','N','N','N',98.27,'Lapsed'
'N','R','N','Y',8,1000000,6,0,0,1944,'M','F','N','N',3,11,15,'Y',0,'N','PH','N','N',1920,'PureDD','N','N','Y','Y',184.86,'Live'
'N','R','N','Y',5,1000000,6,0,0,1945,'P','F','N','Y',3,11,15,'Y',0,'N','PH','N','N',1946,'PureDD','Y','Y','N','N',284.15,'Live'
'N','R','N','Y',1,1000000,6,0,0,1946,'O','F','N','Y',4,11,15,'Y',0,'Y','PH','N','N',1946,'DD-Other','N','N','N','N',374.65,'Lapsed'
'N','R','N','Y',28,1000000,6,0,0,1946,'M','M','N','Y',3,11,15,'Y',30,'N','PH','N','N',1900,'PureDD','N','N','N','N',340.53,'Lapsed'
'N','R','N','Y',4,1000000,6,0,0,1947,'O','F','N','Y',3,11,15,'Y',0,'N','PH','N','N',1900,'NonDD','N','N','N','N',284.39,'Lapsed'
'N','E','N','Y',19,1000000,5,0,0,1947,'O','M','N','Y',4,11,15,'Y',0,'N','PH','N','N',1920,'PureDD','N','N','N','N',263.42,'Live'
'N','R','N','Y',8,1000000,6,0,0,1948,'O','M','N','Y',3,11,15,'Y',0,'Y','PH','N','N',1946,'NonDD','N','N','N','N',152.67,'Live'
'Y','E','N','Y',3,1000000,3,0,0,1950,'P','F','N','Y',2,11,15,'Y',0,'N','PH','N','N',1980,'PureDD','N','N','N','N',199.14,'Live'
'N','N','N','Y',9,1000000,6,0,0,1952,'M','F','N','Y',2,11,15,'Y',30,'N','PH','N','N',1900,'PureDD','N','N','N','N',155.13,'Live'
'Y','E','N','Y',1,1000000,3,0,0,1953,'O','M','N','Y',3,11,15,'Y',0,'N','PH','N','N',1920,'NonDD','N','N','N','N',219.14,'Live'
'Y','R','N','Y',20,1000000,3,0,0,1953,'M','M','N','Y',4,11,15,'Y',0,'N','PH','N','N',1946,'PureDD','N','N','N','N',450.22,'Live'
'N','E','N','Y',1,1000000,6,200,9.77,1955,'S','F','N','Y',2,11,15,'Y',0,'N','PH','N','N',1900,'PureDD','N','N','N','N',269.06,'Live'
'N','E','N','Y',20,1000000,7,0,0,1957,'M','F','N','Y',3,11,15,'Y',30,'N','PH','N','N',1980,'NonDD','N','N','N','N',134.18,'Live'
'N','U','N','Y',8,1000000,6,0,0,1960,'M','F','N','Y',3,11,15,'Y',30,'N','PH','N','N',1960,'PureDD','N','N','N','N',191.5,'Live'
'N','E','N','Y',9,1000000,7,0,0,1964,'S','F','N','N',3,11,15,'Y',0,'N','PH','N','N',1920,'PureDD','N','N','N','N',312.57,'Live'
'N','R','N','Y',26,1000000,6,0,0,1922,'O','F','N','N',2,11,15,'Y',0,'Y','PH','N','N',1946,'NonDD','N','N','N','N',155.8,'Live'
'N','R','N','Y',10,1000000,6,0,0,1925,'P','M','N','Y',4,11,15,'Y',0,'Y','PH','N','N',1946,'NonDD','Y','Y','N','N',278.91,'Live'
'N','R','N','Y',11,1000000,6,0,0,1927,'P','F','N','N',4,11,15,'Y',0,'Y','PH','N','N',1900,'PureDD','Y','Y','N','N',428.74,'Live'
'N','R','N','Y',10,1000000,6,0,0,1929,'W','F','N','Y',2,11,15,'Y',0,'Y','PH','N','N',1960,'PureDD','N','N','N','N',192.81,'Live'
'N','R','N','Y',15,1000000,6,0,0,1929,'W','F','N','Y',2,11,15,'Y',30,'N','PH','N','N',1920,'NonDD','N','N','N','N',116.96,'Live'
'N','R','N','Y',10,1000000,5,0,0,1930,'M','M','N','Y',3,11,15,'Y',0,'Y','PH','N','N',1946,'NonDD','N','N','N','N',142.22,'Lapsed'
'N','R','N','Y',16,1000000,6,0,0,1931,'M','M','N','N',4,11,15,'Y',30,'N','PH','N','N',1900,'PureDD','N','N','N','N',249,'Lapsed'
'N','R','N','Y',21,1000000,6,0,0,1932,'O','M','Y','Y',3,11,15,'Y',0,'N','PH','N','N',1946,'NonDD','N','N','N','N',269.89,'Lapsed'
'N','R','N','Y',25,1000000,6,0,0,1932,'O','M','N','Y',3,11,15,'Y',0,'N','PH','N','N',1920,'NonDD','N','N','N','N',201.9,'Lapsed'
'N','R','N','Y',1,1000000,6,0,0,1933,'P','F','N','N',2,11,15,'Y',0,'N','PH','N','N',1946,'NonDD','N','N','N','N',134.72,'Live'
'N','R','N','Y',0,1000000,4,0,0,1934,'S','M','N','N',2,11,15,'Y',0,'N','PH','N','N',1920,'PureDD','N','N','N','N',127.89,'Live'
'N','R','N','Y',3,1000000,6,0,0,1936,'P','F','N','Y',2,11,15,'Y',0,'N','PH','N','N',1946,'NonDD','N','N','N','N',177.15,'Live'
'N','R','N','Y',3,1000000,4,0,0,1936,'W','F','N','N',4,11,15,'Y',30,'Y','PH','N','N',1990,'NonDD','N','N','N','N',133.75,'Lapsed'
'N','R','N','Y',12,1000000,6,650,4.7,1937,'W','F','N','Y',2,11,15,'Y',0,'N','PH','N','N',1900,'PureDD','Y','N','N','N',244.91,'Lapsed'
'N','R','N','Y',12,1000000,4,0,0,1938,'M','M','N','Y',3,11,15,'Y',0,'N','PH','N','N',1920,'PureDD','N','N','N','N',240.59,'Live'
'N','R','N','Y',10,1000000,7,0,0,1938,'M','M','N','Y',2,11,15,'Y',30,'N','PH','N','N',1960,'PureDD','N','N','N','N',140.8,'Lapsed'
'N','R','N','Y',0,1000000,6,0,0,1939,'S','M','N','N',3,11,15,'Y',30,'N','PH','N','N',1869,'PureDD','N','N','N','N',215.89,'Live'
'N','R','N','Y',3,1000000,4,250,5.82,1939,'M','F','N','Y',3,11,15,'Y',30,'N','PH','N','N',1946,'PureDD','N','N','N','N',162.3,'Lapsed'
'N','R','N','Y',7,1000000,6,0,0,1939,'M','M','N','Y',3,11,15,'N',30,'N','PH','N','N',1960,'PureDD','N','N','Y','Y',154.69,'Cancelled'
'N','R','N','Y',25,1000000,7,0,0,1940,'M','M','N','Y',4,11,15,'Y',0,'Y','PH','N','N',1990,'NonDD','N','N','Y','Y',190.53,'Lapsed'
'N','R','N','Y',10,1000000,7,0,0,1941,'M','F','N','Y',2,11,15,'Y',30,'N','PH','N','N',1946,'NonDD','N','N','N','N',194.38,'Live'
'N','R','N','Y',1,1000000,6,0,0,1943,'M','M','N','Y',3,11,15,'Y',0,'N','PH','N','N',1920,'PureDD','N','N','N','N',239.07,'Live'
'N','S','N','Y',22,1000000,7,0,0,1943,'D','F','N','Y',4,11,15,'Y',30,'N','PH','N','N',1980,'NonDD','N','N','N','N',132.34,'Lapsed'
'N','R','N','Y',0,1000000,7,4200,23.16,1944,'M','F','N','Y',3,11,15,'Y',30,'N','PH','N','N',1980,'NonDD','N','N','N','N',202.89,'Lapsed'
'N','R','N','Y',11,1000000,7,0,0,1944,'M','M','N','Y',3,11,15,'Y',30,'N','PH','N','N',1960,'NonDD','N','N','N','N',150.12,'Live'
'N','S','N','Y',25,1000000,9,6000,45.51,1945,'M','M','N','Y',2,11,15,'Y',30,'Y','PH','N','N',1960,'NonDD','N','N','N','N',265.96,'Lapsed'
'N','R','N','Y',14,1000000,6,0,0,1948,'O','M','N','Y',3,11,15,'Y',0,'N','PH','N','N',1980,'NonDD','N','N','N','N',121,'Live'
'Y','E','N','Y',0,1000000,6,0,0,1949,'M','M','N','Y',3,11,15,'Y',30,'Y','PH','N','N',1920,'NonDD','Y','Y','N','N',350.21,'Lapsed'
'N','R','N','Y',8,1000000,4,0,0,1950,'W','M','N','N',4,11,15,'Y',0,'N','PH','N','N',1990,'NonDD','N','N','N','N',187.85,'Lapsed'
'N','R','N','Y',14,1000000,6,350,2.07,1950,'M','F','N','Y',3,11,15,'Y',30,'N','PH','N','N',1920,'PureDD','N','N','N','N',153.54,'Live'
'N','E','N','Y',14,1000000,6,0,0,1950,'M','F','N','Y',3,11,15,'Y',0,'N','PH','N','N',1920,'PureDD','Y','Y','N','N',229.12,'Live'
