@relation home
@attribute claim3years {'N','Y'}
@attribute empStatus {'A','C','E','F','H','I','N','R','S','U','V'}
@attribute busUse {'N','Y'}
@attribute adBuild {'Y'}
@attribute riskRate numeric
@attribute insurSum numeric
@attribute grantYear numeric
@attribute specInsur numeric
@attribute specPrem numeric
@attribute birthYear numeric
@attribute marStatus {'A','B','C','D','M','N','O','P','S','W'}
@attribute sex {'F','M','N'}
@attribute alarm {'N','Y'}
@attribute lock {'N','Y'}
@attribute bedroom numeric
@attribute roofCon numeric
@attribute wallCon numeric
@attribute flood {'N','Y'}
@attribute unocc numeric
@attribute neigh {'N','Y'}
@attribute occStatus {'HH','LP','PH','UN','WD','WE'}
@attribute safeInstall {'N','Y'}
@attribute subside {'N','Y'}
@attribute yearBuild numeric
@attribute payment {'DD-Other','NonDD','PureDD'}
@attribute garBefore {'N','Y'}
@attribute garPost {'N','Y'}
@attribute keyBefore {'N','Y'}
@attribute keyAfter {'N','Y'}
@attribute lastPrem numeric
@attribute polStatus {'Cancelled','Lapsed','Live','Unknown'}
@data
'N','R','N','Y',6,1000000,6,0,0,1929,'M','M','Y','Y',3,11,15,'Y',0,'N','PH','N','N',1946,'NonDD','N','N','N','N',166.53,'Lapsed'
'Y','R','N','Y',3,1000000,3,0,0,1934,'P','F','N','Y',2,11,15,'Y',0,'N','PH','N','N',1980,'PureDD','N','N','N','N',178.84,'Live'
'N','R','N','Y',23,1000000,6,0,0,1935,'M','M','N','Y',3,11,15,'Y',30,'N','PH','N','N',1946,'NonDD','N','N','N','N',195.64,'Lapsed'
'N','R','N','Y',10,1000000,6,0,0,1945,'S','F','N','Y',4,11,15,'Y',30,'Y','PH','N','N',1870,'NonDD','N','N','N','N',183.71,'Lapsed'
'N','R','N','Y',1,1000000,6,0,0,1946,'O','F','N','Y',4,11,15,'Y',0,'Y','PH','N','N',1946,'DD-Other','N','N','N','N',374.65,'Lapsed'
'N','E','N','Y',21,1000000,6,0,0,1956,'D','M','N','Y',3,11,15,'Y',0,'N','PH','N','N',1960,'PureDD','N','N','N','N',156.53,'Live'
'N','R','N','Y',10,1000000,6,0,0,1923,'P','F','N','Y',2,11,15,'Y',0,'N','PH','N','N',1920,'PureDD','N','N','N','N',249.91,'Live'
'N','R','N','Y',10,1000000,6,0,0,1926,'P','F','N','Y',3,11,15,'Y',0,'N','PH','N','N',1920,'NonDD','N','N','N','N',204.62,'Live'
'Y','R','N','Y',8,1000000,3,0,0,1910,'P','F','N','Y',4,11,15,'Y',0,'N','PH','N','N',1980,'PureDD','N','N','N','N',364.04,'Live'
'N','R','N','Y',3,1000000,6,0,0,1930,'P','F','N','N',2,11,15,'Y',0,'N','PH','N','N',1946,'PureDD','N','N','N','N',188.39,'Live'
