@relation home
@attribute claim3years {'N','Y'}
@attribute empStatus {'A','C','E','F','H','I','N','R','S','U','V'}
@attribute busUse {'N','Y'}
@attribute adBuild {'Y'}
@attribute riskRate numeric
@attribute insurSum numeric
@attribute grantYear numeric
@attribute specInsur numeric
@attribute specPrem numeric
@attribute birthYear numeric
@attribute marStatus {'A','B','C','D','M','N','O','P','S','W'}
@attribute sex {'F','M','N'}
@attribute alarm {'N','Y'}
@attribute lock {'N','Y'}
@attribute bedroom numeric
@attribute roofCon numeric
@attribute wallCon numeric
@attribute flood {'N','Y'}
@attribute unocc numeric
@attribute neigh {'N','Y'}
@attribute occStatus {'HH','LP','PH','UN','WD','WE'}
@attribute safeInstall {'N','Y'}
@attribute subside {'N','Y'}
@attribute yearBuild numeric
@attribute payment {'DD-Other','NonDD','PureDD'}
@attribute garBefore {'N','Y'}
@attribute garPost {'N','Y'}
@attribute keyBefore {'N','Y'}
@attribute keyAfter {'N','Y'}
@attribute lastPrem numeric
@attribute polStatus {'Cancelled','Lapsed','Live','Unknown'}
@data
'N','R','N','Y',13,1000000,6,0,0,1943,'O','F','N','N',3,11,15,'Y',0,'N','PH','N','N',1920,'NonDD','N','N','N','N',233.37,'Live'
'Y','R','N','Y',27,1000000,6,0,0,1947,'M','F','N','N',2,11,15,'Y',30,'N','PH','N','N',1920,'PureDD','N','N','N','N',213.4,'Live'
'N','R','N','Y',17,1000000,6,0,0,1930,'M','M','N','Y',3,11,15,'Y',30,'N','PH','N','N',1960,'NonDD','N','N','N','N',232.86,'Lapsed'
'N','S','N','Y',0,1000000,6,0,0,1957,'S','M','N','Y',2,11,15,'Y',0,'N','PH','Y','N',1946,'NonDD','N','N','N','N',180.27,'Lapsed'
'Y','R','N','Y',15,1000000,6,0,0,1942,'M','M','N','Y',2,11,15,'Y',30,'N','PH','N','N',2000,'NonDD','N','N','N','N',211.21,'Lapsed'
'N','R','N','Y',8,1000000,6,0,0,1944,'W','F','N','Y',3,11,15,'Y',0,'N','PH','N','N',1960,'PureDD','N','N','N','N',258.38,'Live'
'N','R','N','Y',7,1000000,6,0,0,1946,'O','F','N','Y',3,11,15,'Y',0,'N','PH','N','N',1920,'NonDD','Y','Y','N','N',205.23,'Live'
'N','R','N','Y',24,1000000,6,0,0,1933,'P','M','N','N',3,11,15,'Y',0,'N','PH','N','N',1920,'PureDD','N','N','N','N',278.91,'Live'
'N','E','N','Y',11,1000000,6,0,0,1947,'O','F','N','Y',4,11,15,'Y',0,'N','PH','N','N',1946,'NonDD','N','N','N','N',361.78,'Live'
'N','E','N','Y',10,1000000,6,0,0,1948,'M','M','N','Y',2,11,15,'Y',0,'N','PH','N','N',1946,'NonDD','N','N','N','N',159.45,'Live'
'N','E','N','Y',13,1000000,6,2500,19.91,1948,'M','M','N','N',2,11,15,'Y',0,'Y','PH','N','N',1869,'PureDD','N','N','N','N',343.86,'Live'
'N','R','N','Y',0,1000000,6,300,1.28,1931,'M','M','N','Y',2,11,15,'Y',0,'N','PH','N','N',1946,'NonDD','N','N','N','N',115.14,'Lapsed'
'N','R','N','Y',1,1000000,6,0,0,1947,'O','F','N','Y',2,11,15,'Y',0,'N','PH','N','N',1960,'NonDD','N','N','N','N',123.07,'Live'
'N','R','N','Y',6,1000000,7,0,0,1919,'S','F','N','N',4,11,15,'Y',0,'N','PH','N','N',1920,'NonDD','N','N','N','N',327.62,'Live'
'N','R','N','Y',13,1000000,6,0,0,1933,'O','F','N','Y',3,11,15,'Y',0,'N','PH','N','N',1946,'NonDD','N','N','N','N',155.34,'Live'
'N','E','N','Y',10,1000000,6,0,0,1948,'D','M','N','Y',1,11,15,'Y',30,'Y','PH','N','N',1960,'PureDD','N','N','N','N',117.09,'Live'
'Y','R','N','Y',10,1000000,3,0,0,1922,'S','M','N','Y',3,11,15,'Y',30,'N','PH','N','N',1920,'NonDD','N','N','N','N',170,'Lapsed'
'N','R','N','Y',12,1000000,6,0,0,1933,'M','M','N','Y',3,11,15,'Y',30,'N','PH','N','N',1960,'PureDD','N','N','N','N',138.71,'Lapsed'
'N','R','N','Y',4,1000000,7,0,0,1939,'W','M','N','N',3,11,15,'Y',30,'N','PH','N','N',1960,'PureDD','N','N','N','N',155.18,'Live'
'N','R','N','Y',8,1000000,6,0,0,1942,'M','M','N','Y',3,11,15,'Y',0,'N','PH','N','N',1946,'NonDD','N','N','Y','Y',162.83,'Live'
'N','R','N','Y',12,1000000,6,0,0,1949,'P','F','N','N',3,11,15,'Y',0,'N','PH','N','N',1946,'PureDD','Y','Y','N','N',249.65,'Live'
'N','E','N','Y',13,1000000,5,0,0,1968,'P','M','N','Y',2,11,15,'Y',0,'N','PH','N','N',1980,'PureDD','N','N','N','N',220.66,'Live'
